UNIDADE,CRITERIO,ALINEA,OPORTUNIDADE DE MELHORIA,INSTRUMENTO,O QUE,COMO
UNICRS,Governança,02 - A alta direção promove o comportamento ético em relação aos compromissos assumidos.,Elaborar código de conduta para fornecedores e parceiros,IMGG - GOV BR,Elaborar código de conduta para fornecedores e parceiros comerciais,"Através de pesquisas de melhores práticas do mercado; elaboração de minuta; apresentação da minuta à Comissão de Conduta e Integridade para análise, sugestões e validação; validação do Presidente e aprovação do Conselho de Administração da MTI"
UNICRS,Estratégia,d) o processo de gestão de riscos está formalizado.,Atualizar manual e regulamento e aprovar no órgão competente,iESGo - TCU,"Atualizar o manual e o regulamento de gerenciamento de riscos corporativos, e aprovar da DIREX","- Análise do documento existente;
- Estudo da ISO 31000 atualizada;
- Pesquisa de melhores práticas no mercado atual;
- Elaboração da minuta dos documentos; 
- Submeter as minutas ao CSIR, para análise, contribuições e validação;
- Submeter os documentos para aprovação da DIREX."
UNICRS,Estratégia,"d) há procedimentos administrativos padronizados para apuração e tratamento de atos lesivos cometidos por pessoas jurídicas contra a organização (p. ex.: detalhamento de ações para realização de processo administrativo de responsabilização, de acordos de leniência, procedimentos baseados nas diretrizes da Lei 12.846/2013).",Elaborar código de conduta e integridade para fornecedores e parceiros comerciais,iESGo - TCU,Elaborar código de conduta para fornecedores e parceiros comerciais,"Através de pesquisas de melhores práticas do mercado; elaboração de minuta; apresentação da minuta à Comissão de Conduta e Integridade para análise, sugestões e validação; validação do Presidente e aprovação do Conselho de Administração da MTI"
UNICRS,Estratégia,a) há política de gestão de continuidade do negócio (PGCN) aprovada pela alta administração.,Elaborar o PGCN,iESGo - TCU,Elaborar e publicar a PCN,"- Análise do documento existente, elaborado em 2023;
- Estudo da ISO 22301;
- Elaboração da minuta;
- Submeter a minuta ao CSIR para análise, contribuição e validação; 
- Submeter os documentos para aprovação em DIREX."
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,b) a política (ou norma interna complementar) contempla diretrizes sobre gestão de riscos de segurança da informação.,Revisar a Política de Segurança da Informação,iESGo - TCU,Revisão e publicação da Política de Segurança da Informação,"Analisando a política atual, avaliando outros exemplares de políticas em setores da TI. Avaliando as orientações já instituídas em legislações bem como em boas práticas de gestão pertinentes ao tema. A elaboração será feita em conjunto com o Comitê de Adequação à LGPD da MTI, será validada pelo Comitê de Segurança da Informação e, após aprovação por este fórum, será submetida para análise e aprovação da Diretoria Executiva."
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,"d) o gestor institucional de segurança da informação detém as prerrogativas e os recursos necessários para o desempenho de todas as suas competências (nível hierárquico adequado, pessoal suficiente alocado etc.).",Estabelecer os limites de atuação no processo de segurança da informação,iESGo - TCU,Revisar  o PMP - Gestão dos Instrumentos Normativos da Segurança da Informação,"- Revisando o  PMP; 
 -Aprovando na presidência e publicar na intranet"
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,"d) o gestor institucional de segurança da informação detém as prerrogativas e os recursos necessários para o desempenho de todas as suas competências (nível hierárquico adequado, pessoal suficiente alocado etc.).",Definir os recursos necessários para atuação no processo de segurança da informação,iESGo - TCU,"A partir do PMP elaborado, definir as necessidades da unidade com recursos financeiros e de pessoal","- Alinhamento na Presidências das atribuições da unidade;
- Verificação da necessidade de pessoal técnico na área."
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,"f) a organização instituiu uma Política de Controle de Acesso (PCA), a qual estabelece princípios, objetivos, diretrizes, principais atividades e responsabilidades relativos ao processo de controle de acesso.",Revisar o Regulamento de Acesso à Informação e aos Recursos Informacionais,iESGo - TCU,Revisão e publicação da Política de Segurança da Informação,"Analisando a política atual, avaliando outros exemplares de políticas em setores da TI. Avaliando as orientações já instituídas em legislações bem como em boas práticas de gestão pertinentes ao tema. A elaboração será feita em conjunto com o Comitê de Adequação à LGPD da MTI, será validada pelo Comitê de Segurança da Informação e, após aprovação por este fórum, será submetida para análise e aprovação da Diretoria Executiva."
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"a) a organização estabeleceu critérios para orientar a aprovação de mudanças, inclusive quanto ao tratamento de casos de exceção (mudanças emergenciais).",Estabelecer critérios para orientar a aprovação de mudança,iESGo - TCU,Gestão de Mudanças de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,b) mudanças são previamente comunicadas a todas as partes que possam ser afetadas.,Melhorar a comunicação para as partes envolvidas referente a mudanças,iESGo - TCU,Gestão de Mudanças de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) identificam-se os serviços e ativos de TI que possam ser afetados pela mudança, de modo a avaliar impactos em níveis de serviços acordados.",Definir matriz de rastreabilidade,iESGo - TCU,Gestão de Mudanças de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,d) a realização de cada mudança é precedida de planejamento e testes.,Melhorar a realização de testes antes da mudança,iESGo - TCU,Gestão de Mudanças de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"e) mudanças executadas são rastreáveis e monitoradas, com vistas à avaliação de sua efetividade e para permitir ações corretivas, no caso de ocorrência de efeitos não identificados nas fases de planejamento e testes.",Mapear e Implantar o processo de Gestão de Mudança,iESGo - TCU,Gestão de Mudança de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"f) o processo de gestão de mudanças está formalizado (a organização instituiu norma interna, guia ou instrumento similar com orientações quanto à execução do processo e definição de responsabilidades).",Formalizar o processo de gestão de mudança ,iESGo - TCU,Gestão de Mudança de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,a) a organização mantém uma base de dados consolidada e atualizada com as configurações dos serviços e ativos de TI e o relacionamento entre eles.,Melhorar inventário de TI e promover transparência,iESGo - TCU,Gestão de Ativos de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"c) o processo de gestão de configuração e ativos está formalizado (a organização instituiu norma interna, guia ou instrumento similar com orientações quanto à execução do processo e definição de responsabilidades).",Definir e formalizar o processo de gestão de configuração e ativos,iESGo - TCU,Gestão de Ativos de TI,Criando o Processo de Gestão de Mudanças de TI
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"e) a organização definiu procedimentos e responsabilidades quanto à notificação e ao tratamento das notificações de incidentes de segurança da informação, bem como quanto à adoção de ações emergenciais, diretrizes para escalamento e comunicação interna e externa.",Ampliar a cobertura do sobreaviso e prestação de serviço de N3,iESGo - TCU,Gestão de Incidentes,PDCA do Processo de Gestão de Incidentes
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"e) a organização analisa criticamente, a intervalos regulares, os direitos de acesso lógicos e físicos existentes, com vistas à remoção de direitos que deixaram de ser necessários e para assegurar que privilégios indevidos não foram obtidos.",Identificar quais as ferramentas necessitam de auditoria de controle de acesso,iESGo - TCU,Implantação da LGPDNOW,Realizando uma auditoria abrangente das ferramentas utilizadas com o LGPDNOW
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"a) o processo de software utilizado pela organização promove a participação de representante da área de negócio como integrante da equipe de desenvolvimento ou aquisição de software, desde sua concepção até a aceitação final.",Ampliar a capacitação para PO,iESGo - TCU,Gestão do Fluxo de Desenvolvimento de Soluções Digitais, Oferecendo capacitações específicas para os Product Owners.
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,"f)(Novo) a organização definiu procedimentos e responsabilidades quanto à análise dos incidentes, identificação de causas raízes e planejamento e implementação de ações corretivas.",Fazer análise crítica dos incidentes,iESGo - TCU,Gestão de Incidentes,Monitorando os incidentes conforme processo de gestão de incidentes
DTIC,Gestão de Tecnologia da Informação e da Segurança da Informação,a) a organização elabora um plano de continuidade de serviços de TI.,Ajustar PCN (serviços de TI),iESGo - TCU,Plano de Continuidade de Negócios (nível operacional),
