PADRÃO,U.A.,CÓDIGO,DATA EFETIVAÇÃO,DATA ÚLTIMA REVISÃO,Nº ÚLTIMA REVISÃO,STATUS,PRAZO VALIDADE,DIAS PARA VENCIMENTO,NA INTRANET?,OBSERVAÇÃO,LINK
Gerir Investigação Preliminar Sumária,GADP,GADP/PMP - 0002,15/12/2022,15/12/2022,00,VÁLIDO,14/12/2026,577,SIM,OK,https://x.gd/O0T6G
Solicitar Modalidade de Teletrabalho - UGPES,UGPES,UGPES/POP - 0003,02/05/2023,02/05/2023,00,VÁLIDO,01/05/2027,715,SIM,OK,https://x.gd/RCVvZ
Monitorar A Quantidade De Movimentações Por Unidade Organizacional,UGPES,UGPES/POP - 0004,01/11/2023,01/11/2023,00,VÁLIDO,01/11/2027,899,SIM,OK,https://x.gd/EAlLV 
Gerir Escala de Férias,UGPES,UGPES/POP - 0009,15/04/2024,15/04/2024,09,VÁLIDO,14/04/2028,1064,SIM,OK,https://x.gd/ZCavA 
Gerir Cadastro de Atestado Médico Ocupacional,UGPES,UGPES/POP - 0010,15/04/2024,15/04/2024,01,VÁLIDO,14/04/2028,1064,SIM,OK,https://x.gd/7yUEV
EXCLUIR EMPREGADO DO TERMO DE CESSÃO,UGPES,UGPES/POP - 0006,11/03/2024,11/03/2024,00,VÁLIDO,10/03/2028,1029,SIM,OK,https://x.gd/dfqbn
BLOQUEAR ACESSOS EMPREGADOS DE FÉRIAS E LICENÇAS ,UGPES,UGPES/POP - 0007,11/03/2024,11/03/2024,00,VÁLIDO,10/03/2028,1029,SIM,OK,https://x.gd/Duv4q 
ELABORAR TERMO DE CESSÃO,UGPES,UGPES/POP - 0008,11/03/2024,11/03/2024,00,VÁLIDO,10/03/2028,1029,SIM,OK,https://x.gd/7rj5z
Realizar Remessa de Documentos de Concursos e Processos Seletivos no APLIC,UGPES,UGPES/PMP - 0002,09/04/2024,09/04/2024,00,VÁLIDO,08/04/2028,1058,SIM,OK,https://x.gd/G6kta 
Gerir Folha de Pagamento Processada,UGPES,UGPES/POP - 0011,12/06/2024,12/06/2024,00,VÁLIDO,11/06/2028,1122,SIM,OK,https://x.gd/3S0Rl 
"Gerenciar Plano de Saúde, Médico, Hospitalar e Odontológico",UGPES,GACD/POP - 0011,17/05/2024,17/05/2024,00,VÁLIDO,16/05/2028,1096,SIM,OK,https://x.gd/ZwSfI 
Coordenar Avaliação da Gestão do Instrumento iESGo,UGGOV,UGGOV/PMP - 0009,24/09/2024,24/09/2024,00,VÁLIDO,23/09/2028,1226,SIM,OK,https://x.gd/awb89
Coordenar Avaliação da Gestão do Instrumento IMGG,UGGOV,UGGOV/PMP - 0010,24/09/2024,24/09/2024,00,VÁLIDO,23/09/2028,1226,SIM,OK,https://x.gd/yO8GX
Gerir Atualização da Carta de Serviços,UGGOV,UGGOV/POP - 0004,24/09/2024,24/09/2024,00,VÁLIDO,23/09/2028,1226,SIM,OK,https://x.gd/l9Y3a
Gerir Transmissão de informações nas sucessões da alta administração,UGGOV,UGGOV/POP - 0005,24/09/2024,24/09/2024,00,VÁLIDO,23/09/2028,1226,SIM,OK,https://x.gd/UzD0a
Gerir Pagamento Tercerizados,UGPES,UGPES/POP - 0012,03/02/2025,03/02/2025,00,VÁLIDO,02/02/2029,1358,SIM,OK,https://x.gd/Q5PHA
Gerir Pagamento Convênio Farmácia,UGPES,UGPES/POP - 0013,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/EVuAZ
Gerir Pagamento Estagiários,UGPES,UGPES/POP - 0014,03/02/2025,03/02/2025,00,VÁLIDO,02/02/2029,1358,SIM,OK,https://x.gd/ymjsH
Gerir Pagamento Equipe Assistência Médica ,UGPES,UGPES/POP - 0015,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/ctfBW
Gerir Pagamento Convênio Odontológico,UGPES,UGPES/POP - 0016,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/Rfm5x
Gerir Pagamento Vale Transporte,UGPES,UGPES/POP - 0017,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/EhZ5D
Gerir Pagamento Empresa de Saúde - Mensalidade ,UGPES,UGPES/POP - 0018,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/GzT0i
Gerir Pagamento de Empresas Conveniadas Alimentação,UGPES,UGPES/POP - 0019,08/11/2024,08/11/2024,00,VÁLIDO,07/11/2028,1271,SIM,OK,https://x.gd/bdZVD
Gerir Pagamento Elofy,UGPES,UGPES/POP - 0023,03/02/2025,03/02/2025,00,VÁLIDO,02/02/2029,1358,SIM,OK,https://x.gd/KoA2E
Fazer a Gestão da Integridade,UNICRS,UNICRS/PMP - 0002,30/09/2024,30/09/2024,00,VÁLIDO,29/09/2028,1232,SIM,OK,https://x.gd/KIi9n
Fazer Gestão de Riscos,UNICRS,UNICRS/PMP - 0003,30/09/2024,30/09/2024,00,VÁLIDO,29/09/2028,1232,SIM,OK,https://x.gd/J1cyb
Fazer Gestão dos Instrumentos Normativos de Segurança da Informação,UNICRS,UNICRS/PMP - 0001,30/09/2024,30/09/2024,00,VÁLIDO,29/09/2028,1232,SIM,OK,https://x.gd/w0ZKh
Gerir Progressão Antiguidade,UGPES,UGPES/POP - 0020,06/02/2025,06/02/2025,00,VÁLIDO,05/02/2029,1361,SIM,OK,https://x.gd/dKJxU
Gerir Progressão De Classe,UGPES,UGPES/POP - 0021,06/02/2025,06/02/2025,00,VÁLIDO,05/02/2029,1361,SIM,OK,https://x.gd/4ugva
Gerir Progressão Por Merecimento,UGPES,UGPES/POP - 0022,06/02/2025,06/02/2025,00,VÁLIDO,05/02/2029,1361,SIM,OK,https://x.gd/Lx2QC
Gerir Controles Internos,UNISECI,UNISECI/PMP - 0004,14/04/2025,14/04/2025,00,VÁLIDO,13/04/2029,1428,SIM,OK,https://x.gd/rd5Ij 
"Disseminar normas, padrões e canais de atendimento da Ouvidoria e Transparência",OUVIDORIA,OUVIDORIA/POP – 001,14/05/2025,14/05/2025,00,VÁLIDO,13/05/2029,1458,SIM,OK,
Elaborar Relatório Estatístico da Carta de Serviços,OUVIDORIA,OUVIDORIA/POP – 002,14/05/2025,14/05/2025,00,VÁLIDO,13/05/2029,1458,SIM,OK,
Elaborar Relatório Estatístico dos Pedidos de Acesso à Informação,OUVIDORIA,OUVIDORIA/POP – 003,14/05/2025,14/05/2025,00,VÁLIDO,13/05/2029,1458,SIM,OK,
Monitorar Canal de Denúncias,OUVIDORIA,OUVIDORIA/POP – 004,14/05/2025,14/05/2025,00,VÁLIDO,13/05/2029,1458,SIM,OK,
