OBJETIVOS,INDICADOR,META 2025,MÉTRICA,UNIDADE MEDIDA,CICLO MEDIÇÃO,RESPONS. INDICADOR,RESPONS. MEDIÇÃO,RESULTADO ACUMULADO ,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,obs,DESCRIÇÃO,FONTE,COMENTÁRIOS GERAIS,FÓRMULA
Elevar o nível de satisfação do cliente e de imagem institucional,Nível de satisfação do cliente com as soluções de Tecnologia da Informação e Comunicação entregues,"75,00%",MÉDIA,Percentual,Mensal,DIRC,UGEPV,"86,19%","85,75%","86,63%",,,,,,,,,,,"Marco de 2025 - as pesquisas foram. O resutlado poderá ser alterado, conforme monitoramento  efetuado pela UGPEV","Este indicador visa aumentar o nível de qualidade das entregas de soluções de tic, sendo aferido nível de satisfação do cliente após cada entrega",ServiceNow - a ser implementado,"Pesquisa a ser feita o cliente após a entrega do serviço, sendo composto por: 
* Satisfação com novos Projetos  - 60% de peso
* Satisfação com atendimento via SAC (requisição e incidentes) - 10% de peso
* Satisfação com atendimento no suporte das soluções de transformação digital (melhorias e defeitos) - 30% de peso
* O Indicador está igualmente referenciado dentro do Programa “536” do PPA 2024-2027. No PPA consta a fórmula: (A1 + A2 + A3 + An...) / número de entregas de TIC",Satisfação do cliente aferida a cada entrega
,Índice de satisfação e imagem,"8,40",ÚLTIMO VALOR,Nota,Anual,GADP,ASSCOM,"0,00","0,00","0,00","0,00","0,00",,,,,,,,,,Este indicador é obtido através da pesquisa institucional.,Pesquisa Institucional,"Este indicador deve estar alinhado e acoplado ao Plano de Marketing e de Comunicação da Empresa e, igualmente, ao Plano de Negócios, dentre outros instrumentos. Deve-se observar as avaliações do MT cidadão, inclusive",Média das notas dos respondentes
Elevar o faturamento,Valor do Faturamento (R$ em Milhões),"R$ 84.000.000,00",ACUMULADO,Monetário,Mensal,DIRC,UGVEN,"R$ 25.986.098,79","R$ 3.499.932,66","R$ 4.645.245,86","R$ 13.464.118,86","R$ 4.376.801,41",,,,,,,,,"O resultado acumulado até março, equivale a 25,72% do previsto. ",Indicar de valor do faturamento da MTI,Protheus,Nesta dimensão não é considerado como receita de serviços os servidores cedidos.,Receitas de serviços R$ em Milhões
Aperfeiçoar a Governança Corporativa,Índice de Maturidade de Gestão e Governança - Modelo IMGG,"93,00%",ÚLTIMO VALOR,Percentual,Anual,GADP,UGGOV,"0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,O Índice de Maturidade em Governança e Gestão (IMGG) é uma ferramenta utilizada para avaliar o nível de desenvolvimento e eficácia das práticas de governança e gestão dentro de uma organização.,Instrumento de Maturidade de Governança e Gestão – IMGG 100 PONTOS,"O IMGG 100 PONTOS foi desenvolvido para ser o primeiro patamar de referência do nível de maturidade da governança e gestão do Gestaopublicagov.br. Esse instrumento visa, especificamente, à implementação objetiva das condições para o aprimoramento da governança e da gestão dos órgãos e entidades",Questionário no instrumento disponibilizado pelo Ministério de Gestão e Inovação - MGI
,Índice de Maturidade de Gestão e Governança - Modelo iESGo,"61,00%",ÚLTIMO VALOR,Percentual,Anual,GADP,UGGOV,"0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,O iESGo -  Índice de Avaliação de Governança Organizacional é uma ferramenta utilizada para avaliar o nível de desenvolvimento e eficácia das práticas de governança e gestão dentro de uma organização.,Instrumento do  iESGo -  Índice de Avaliação de Governança Organizacional do TCU,"O instrumento que mede  a adesão de organizações públicas às práticas de governança e gestão, abrangendo, inclusive, a sustentabilidade ambiental e a responsabilidade social. Este instrumento apresenta 493 requisitos e 09 critérios: Liderança, Estratégia, Controle, Gestão de Pessoas, Gestão de Tecnologia da Informação e da Segurança da Informação, Gestão de Contratações, Gestão Orçamentária, Sustentabilidade Ambiental e Social.",Questionário no instrumento disponibilizado pelo Tribunal de Conta da União - TCU
Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação,Percentual de disponibilidade das soluções de Tecnologia da Informação e Comunicação,"99,80%",MÉDIA,Percentual,Mensal,DTIC,DTIC,"99,34%","99,82%","99,79%","98,91%","98,82%",,,,,,,,,,Objetivo para o programa PPA é garantir alta disponibilidade das soluções de TIC para o Poder Executivo,Ferramentas de monitoramento na MTI,Indicador está igualmente referenciado dentro do Programa “536” do PPA 2024-2027.,(% Disponibilidade de banco + % Disponibilidade de aplicação + % Disponibilidade de backup + % Disponibilidade Firewall... n / n)
Garantir adequação à Proteção de Dados,Índice de conformidade com LGPD,3,ÚLTIMO VALOR,Nível,Anual,DTIC,UGGDC,"0,00","0,00","0,00","0,00","0,00",,,,,,,,,,"Proporção em que as práticas da organização estão alinhadas com os princípios e requisitos da LGPD, refletindo o nível de proteção dos dados pessoais dos titulares.",Ferramentas de monitoramento na MTI,"Trata-se de um índice interno, com métrica interna, seguindo a legislação vigente
O nível (métrica interna) é assim definido:  letra A - Mais Eficiente, para a letra E - Menos Eficiente. Será utilizado os parâmetros do sistema LGPDNOW
","Conforme níveis 
A / B / C / D / E"
"Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes",Percentual de satisfação dos colaboradores,"75,00%",MÉDIA,Percentual,Semestral,DAFI,UGPES,"0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,Medida do grau de contentamento dos colaboradores com a experiência de trabalho na empresa.,Informações da UGPES,"Esse indicador busca medir Satisfação do Colaborador e Desenvolvimento de Competências. Situação atual: 73,91% satisfação conforme relatório da UGPES sobre clima organizacional - 2024.
A resultante do índice será a média das duas avaliações.",Extraído do relatório anual de clima organizacional
,Percentual de pessoas com 100% de seu Plano de Desenvolvimento Individual executado (sede),"87,00%",ACUMULADO,Percentual,Mensal,DAFI,UGPES,"0,00%","0,00%","0,00%","0,00%","0,00%",,,,,,,,,,Este indicador tem por objetivo empreender esforços para concretização do planejamento individualizado através do PDI - Plano de Desenvolvimento Individual.,"Sistema Elofy
Informações da UGPES",Implementar ações alinhadas às ações de tratamento do risco “desmotivação dos colaboradores”,(total de pessoas na sede com 100% de execução no PDI / total de pessoas na sede) * 100
